"rank","word","pronunciation","pos","cn","en"
"2344","offense","/əˈfɛns/","noun","触犯；冒犯","criminal act; something that causes hurt"
"2345","detect","/dɪˈtɛkt/","verb","发现；探测","to discover or identify the presence of something"
"2346","teenager","/ˈtinˌeɪ.dʒər/","noun","(13岁至19岁之间的)青少年","a person between the ages of 13 and 19"
"2347","admire","/ædˈmaɪər/","verb","钦佩；仰慕","to feel respect or wonder toward someone"
"2348","moderate","/ˈmɑd.ər.ɪt/","adj","适中的","average in size or amount"
"2349","surgery","/ˈsɜr.dʒə.ri/","noun","外科手术","medical treatment in which a doctor cuts into a body"
"2350","musician","/mjuˈzɪʃ.ən/","noun","音乐家","a person who writes, sings, or plays music, as a job"
"2351","significance","/sɪgˈnɪf.ɪ.kəns/","noun","意义；重要性","importance of something; the potential for something to have a big effect"
"2352","shower","/ˈʃaʊ.ər/","noun","沐浴","the cleaning of a body by standing under falling water"
"2353","illegal","/ɪˈli.gəl/","adj","非法的","not allowed by the laws or rules"
"2354","charity","/ˈtʃær.ɪ.ti/","noun","慈善机构","organization providing help to the needy, the sick"
"2355","universal","/ˌju.nəˈvɜr.səl/","adj","普遍的","done or experienced by everyone"
"2356","cigarette","/ˈsɪg.əˌrɛt/","noun","香烟","a small paper tube filled with tobacco"
"2357","constitute","/ˈkɑn.stɪˌtut/","verb","组成，构成","to make up or be part of something"
"2358","adequate","/ˈæd.ə.kwɪt/","adj","足够的；充足的","enough; good enough for what is needed"
"2359","consultant","/kənˈsʌl.tənt/","noun","顾问","expert who gives (paid) advice"
"2360","historian","/hɪˈstɔr.i.ən/","noun","历史学家","someone who studies or writes about the course of history"
"2361","cousin","/ˈkʌ.zən/","noun","堂兄弟姐妹；表兄弟姐妹","a child of your uncle or aunt"
"2362","visual","/ˈvɪʒ.u.əl/","adj","视觉的","something to look at with the eyes"
"2363","stupid","/ˈstu.pɪd/","adj","愚蠢的;笨的","lacking the ability to learn easily; not intelligent"
"2364","keen","/kin/","adj","热切的","being eager or excited for something to happen"
"2365","ethnic","/ˈɛθ.nɪk/","adj","种族的","connected with people who share a cultural tradition"
"2366","twin","/twɪn/","noun","双胞胎","two children born from the same mother at the same time"
"2367","clinical","/ˈklɪn.ɪ.kəl/","adj","临床的","related to the examination and treatment of patients"
"2368","eastern","/ˈi.stərn/","adj","东方的","being in the area to the east"
"2369","forecast","/ˈfɔrˌkæst/","noun","（天气等）预测，预报","a prediction of some future thing (e.g., the weather)"
"2370","segment","/ˈsɛg.mənt/","noun","部分，片段","part divided from the other parts of something"
"2371","custom","/ˈkʌs.təm/","noun","风俗","what is usual or normal"
"2372","adapt","/əˈdæpt/","verb","使适应","to change something to fit or suit a new purpose"
"2373","sand","/sænd/","noun","沙子","grains of rock that make beaches and deserts"
"2374","cap","/kæp/","noun","帽子","small, soft hat often with a front visor or shade"
"2375","prompt","/prɑmpt/","adj","迅速的；及时的","being done quickly and with no delay"
"2376","charm","/tʃɑrm/","noun","魅力；吸引力","quality of making people like you; attractiveness"
"2377","react","/riˈækt/","verb","反应","to behave or make a change in a particular way"
"2378","lecture","/ˈlɛk.tʃər/","noun","演讲","talk or speech about a particular subject"
"2379","venture","/ˈvɛn.tʃər/","noun","冒险","activity that involves taking chances or risks"
"2380","compound","/ˈkɑm.paʊnd/","noun","混合物","something that is made from two or more other things"
"2381","rescue","/ˈrɛs.kju/","verb","救援","to save something from danger or harm"
"2382","mess","/mɛs/","noun","混乱，脏乱","dirty or untidy area"
"2383","preference","/ˈprɛf.ər.əns/","noun","偏爱","something that is liked or wanted more than another"
"2384","comprehensive","/ˌkɑm.prɪˈhɛn.sɪv/","adj","综合的;广泛的","including most or all things"
"2385","incentive","/ɪnˈsɛn.tɪv/","noun","激励","something that encourages a person to work hard"
"2386","league","/lig/","noun","联盟","association of sports teams that organizes matches for its members"
"2387","dialog","/ˈdaɪ.əˌlɔg/","noun","对话","conversation between two or more individuals"
"2388","cream","/krim/","noun","奶油","the thick white liquid that comes from milk and is used in cooking"
"2389","rapid","/ˈræp.ɪd/","adj","快速的","happening very quickly"
"2390","cancel","/ˈkæn.səl/","verb","取消","to stop a planned event from happening"
"2391","regret","/rɪˈgrɛt/","verb","后悔","to be sorry about something"
"2392","dismiss","/dɪsˈmɪs/","verb","开除","to send someone away"
"2393","margin","/ˈmɑr.dʒɪn/","noun","边缘","the empty space at the top, bottom, and sides of a written or printed page"
"2394","beneath","/bɪˈniθ/","prep","在下方","under; in or to a lower position; below"
"2395","opponent","/əˈpoʊ.nənt/","noun","对手","a person that you are competing against in a game or contest"
"2396","resist","/rɪˈzɪst/","verb","抵抗","to try to stop or prevent something"
"2397","capability","/ˌkeɪ.pəˈbɪl.ɪ.ti/","noun","才能；能力","means, ability, or potential to do something"
"2398","absolute","/ˈæb.səˌlut/","adj","绝对的;完全的","complete and total"
"2399","correspond","/ˌkɔr.əˈspɑnd/","verb","相一致","to have similarity or equality with something"
"2400","stroke","/strəʊk/","verb","轻抚","to touch someone or something repeatedly in a caring way"
"2401","dare","/dɛər/","verb","胆敢","to have enough courage to do something"
"2402","barrier","/ˈbær.i.ər/","noun","障碍物","structure or object that stops free movement"
"2403","rid","/ˈrɪd/","verb","使摆脱","to no longer be wanted so you throw it away"
"2404","divorce","/dɪˈvɔrs/","noun","离婚","legal ending of a marriage"
"2405","ruin","/ˈru.ɪn/","verb","毁灭；破坏","to spoil something, to make it useless"
"2406","bury","/ˈbɛr.i/","verb","埋葬","to put something into the ground and cover it"
"2407","counsel","/ˈkaʊn.səl/","verb","提供专业咨询","to listen and give expert advice to someone"
"2408","tendency","/ˈtɛn.dən.si/","noun","倾向，趋势","quality that something happens or someone behaves in a particular way"
"2409","frequent","/ˈfri.kwənt/","adj","频繁的","happening often"
"2410","motor","/ˈmoʊ.tər/","noun","发动机","a machine that uses energy to make something work or move"
"2411","survival","/sərˈvaɪ.vəl/","noun","幸存","act of continuing to exist when facing difficulty"
"2412","counter","/ˈkaʊn.tər/","noun","柜台","a long, flat surface in a shop or kitchen where work is done"
"2413","possess","/pəˈzɛs/","verb","拥有；具有","to have or own something"
"2414","permission","/pərˈmɪʃ.ən/","noun","允许；许可","right to do something as allowed by another"
"2415","valley","/ˈvæl.i/","noun","山谷","long, low area between hills or mountains, often with a river running through it"
"2416","float","/fləʊt/","verb","浮动；漂浮","to stay on the surface of a liquid and not sink"
"2417","mad","/ˈmæd/","adj","很生气的；特别喜欢；疯狂的","very angry, very strong feelings, crazy"
"2418","greatly","/ˈgreɪt.li/","adv","非常","very much"
"2419","visible","/ˈvɪz.ə.bəl/","adj","可见的；明显的","easily seen or understood"
"2420","electric","/ɪˈlɛk.trɪk/","adj","电的","using a particular type of energy carried through metal wire"
"2421","impressive","/ɪmˈprɛs.ɪv/","adj","感人的；令人钦佩的","something makes someone admire or respect"
"2422","evolution","/ˌɛv.əˈlu.ʃən/","noun","进化；演变","slow, steady change or development"
"2423","awareness","/əˈwɛər.nɪs/","noun","认知；意识","having knowledge of something"
"2424","violent","/ˈvaɪ.ə.lənt/","adj","暴力的；猛烈的","done with force; likely to cause physical damage"
"2425","slave","/sleɪv/","noun","奴隶","someone who is legally owned by another person"
"2426","wealthy","/ˈwɛl.θi/","adj","财富","having a great amount of money or property"
"2427","architecture","/ˈɑr.kɪˌtɛk.tʃər/","noun","建筑学","design and construction of buildings"
"2428","acceptable","/ækˈsɛp.tə.bəl/","adj","令人满意的；认同的","satisfactory; good enough"
"2429","journal","/ˈdʒɜr.nəl/","noun","日志；刊物","a written record of subjects or events"
"2430","coal","/kəʊl/","noun","煤","dark hard substance from the earth burnt as a fuel"
"2431","measurement","/ˈmɛʒ.ər.mənt/","noun","测量","the finding of the size or amount of something or someone"
"2432","random","/ˈræn.dəm/","adj","随机的","chosen or done without a plan or pattern"
"2433","successfully","/səkˈsɛs.fəl/","adv","成功地","in a manner that achieves a goal"
"2434","depress","/dɪˈprɛs/","verb","使沮丧；使跌价","to make someone feel very sad; to reduce the value of something"
"2435","illustration","/ˌɪl.əˈstreɪ.ʃən/","noun","插图","picture that helps explain something"
"2436","burst","/bərst/","verb","爆发出","to break in a sudden and violent way"
"2437","privilege","/ˈprɪv.lɪdʒ/","noun","特权","advantage or right that is given to only a certain person or group of people"
"2438","buyer","/ˈbaɪ.ər/","noun","买主","someone who gets something by paying money for it"
"2439","mutual","/ˈmju.tʃu.əl/","adj","共同的；相互的","shared between two or more people"
"2440","rail","/reɪl/","noun","铁轨；横杆","long, thin piece of metal"
"2441","motivate","/ˈmoʊ.təˌveɪt/","verb","激励","to make someone excited about doing something"
"2442","laboratory","/ˈlæb.rəˌtɔr.i/","noun","实验室","a place for doing research and experiments"
"2443","mortgage","/ˈmɔr.gɪdʒ/","noun","抵押货款","long-term loan from a bank for buying property"
"2444","promotion","/prəˈmoʊ.ʃən/","noun","晋升","moving someone to a more important position"
"2445","passion","/ˈpæʃ.ən/","noun","激情；热情","powerful, positive feeling about something"
"2446","champion","/ˈtʃæm.pi.ən/","noun","冠军","person who fights for or supports strongly"
"2447","fulfill","/fʊlˈfɪl/","verb","实现；履行","to do something that was promised or required"
"2448","dust","/dʌst/","noun","灰尘","fine dry powder that builds up on surfaces"
"2449","dedicate","/ˈdɛd.ɪˌkeɪt/","verb","奉献；致力","to give your energy, time, etc., completely to someone"
"2450","roughly","/ˈrʌf.li/","adv","粗略地；粗鲁地","in an inexact or imprecise manner"
"2451","skirt","/skɜrt/","noun","裙子","piece of clothing for the lower body worn by women"
"2452","province","/ˈprɑv.ɪns/","noun","省","area that a country or nation is divided into"
"2453","march","/mɑrtʃ/","verb","前进","to walk with regular steps as a group"
"2454","evaluation","/ɪˌvæl.juˈeɪ.ʃən/","noun","评估","judgment about the value or condition of something"
"2455","compromise","/ˈkɑm.prəˌmaɪz/","verb","妥协","an agreement in which each side must give up some things"
"2456","accomplish","/əˈkɑm.plɪʃ/","verb","完成；实现","to succeed in doing; complete successfully"
"2457","weakness","/ˈwik.nɪs/","noun","弱点","quality of not being powerful or strong"
"2458","announcement","/əˈnaʊns.mɛnt/","noun","公告；通知","act of informing people about something publicly"
"2459","salt","/sɔlt/","noun","盐","natural white substance used to flavor or preserve food"
"2460","glance","/glɑns/","verb","瞥一眼","to look at someone or something quickly"
"2461","opera","/ˈɑp.ər.ə/","noun","歌剧","play with music in which all the words are sung"
"2462","contest","/ˈkɑn.tɛst/","noun","竞赛","an event in which people try to win"
"2463","brush","/brʌʃ/","noun","刷子","thing used to comb your hair or to clean the floor"
"2464","embarrass","/ɛmˈbær.əs/","verb","使尴尬","to cause someone to feel uncomfortable about something"
"2465","gallery","/ˈgæl.ə.ri/","noun","画廊","place to look at various types of art"
"2466","genetic","/dʒəˈnɛt.ɪk/","adj","遗传的","concerning the parts of a cell that determine particular characteristics"
"2467","aggressive","/əˈgrɛs.ɪv/","adj","侵略性的","behaving in a very threatening way"
"2468","chest","/tʃɛst/","noun","胸部","the front of your body between your neck and your waist"
"2469","format","/ˈfɔr.mæt/","noun","格式；设计；总体安排","form, design, or arrangement of something"
"2470","literary","/ˈlɪt.əˌrɛr.i/","adj","文学的","concerned with written works"
"2471","govern","/ˈgʌv.ərn/","verb","统治；治理","to officially control and lead an area"
"2472","embrace","/ɛmˈbreɪs/","verb","拥抱","to hold someone closely"
"2473","praise","/preɪz/","verb","赞扬","to express approval of something or someone"
"2474","silent","/ˈsaɪ.lənt/","adj","不说话的；无声的","not speaking or making noise"
"2475","pump","/pʌmp/","verb","用泵抽运","to make water or any other liquid move using a machine"
"2476","publisher","/ˈpʌb.lɪ.ʃər/","noun","出版商","business that produces books or magazines"
"2477","celebration","/ˌsɛl.əˈbreɪ.ʃən/","noun","庆典","special event where people show the importance of something"
"2478","golf","/gɑlf/","noun","高尔夫球运动","game played to hit a ball into a hole with a stick"
"2479","compensation","/ˌkɑm.pənˈseɪ.ʃən/","noun","赔偿","money given or received as payment for loss"
"2480","classical","/ˈklæs.ɪ.kəl/","adj","古典的","concerning ideas considered to be traditional"
"2481","weigh","/weɪ/","verb","称重","to determine the weight of, using scales"
"2482","versus","/ˈvɜr.səs/","prep","与...相对","used to show that a thing or person is against another thing or person"
"2483","deficit","/ˈdɛf.ə.sɪt/","noun","赤字","an amount that is less than needed"
"2484","modify","/ˈmɑd.əˌfaɪ/","verb","修改","to make small changes to something"
"2485","flash","/flæʃ/","noun","闪光","sudden bright light"
"2486","friendship","/ˈfrɛnd.ʃɪp/","noun","友谊","feeling of liking someone; good relationship"
"2487","profession","/prəˈfɛʃ.ən/","noun","职业","job requiring special education or skills"
"2488","literally","/ˈlɪt.ər.ə.li/","adv","字面上；确实地","in a way that expresses the exact meaning of something"
"2489","equation","/ɪˈkweɪ.ʒən/","noun","等式","a statement showing things to be equal"
"2490","gesture","/ˈdʒɛs.tʃər/","noun","姿势","a hand or body movement that expresses a particular idea or feeling"
"2491","entertain","/ˌɛn.tərˈteɪn/","verb","招待","to take care of guests by helping them enjoy their time"
"2492","fantastic","/fænˈtæs.tɪk/","adj","极好的","very fanciful in design, construction, or appearance"
"2493","assign","/əˈsaɪn/","verb","分配；布置","to give someone a particular job or something to do"
"2494","inflation","/ɪnˈfleɪ.ʃən/","noun","通货膨胀","continual rise in the prices of products"
"2495","historic","/hɪˈstɔr.ɪk/","adj","有历史意义的","belonging to the past; of what is important or famous in the past"
"2496","injure","/ˈɪn.dʒər/","verb","受伤","do physical harm or damage"
"2497","remote","/rɪˈmoʊt/","adj","遥远的","far away"
"2498","therapy","/ˈθɛr.ə.pi/","noun","治疗；疗法","treatment intended to help fix your problem or medical illness"
"2499","orange","/ˈɔr.ɪndʒ/","adj","橙色","a color that is a mixture of red and yellow"
"2500","twist","/twɪst/","verb","扭转","to turn something in opposite directions at the same time"
"2501","personnel","/ˌpɜr.səˈnɛl/","noun","全体人员","group of people who work for a company"
"2502","imagination","/ɪˌmædʒ.əˈneɪ.ʃən/","noun","想象力","the ability to think of new ideas or things that are not real"
"2503","disagree","/ˌdɪs.əˈgri/","verb","不同意","to have a different opinion from someone"
"2504","throat","/ˈθrəʊt/","noun","喉咙","passage inside the neck used to swallow and breathe"
"2505","insight","/ˈɪnˌsaɪt/","noun","洞察力","a clear idea about how something works"
"2506","tackle","/ˈtæk.əl/","verb","解决；处理","to take action to solve a difficult problem"
"2507","forever","/fɔrˈɛv.ər/","adv","永远地","for a very long or seemingly endless time"
"2508","exceed","/ɪkˈsid/","verb","超过","to be greater in number than something"
"2509","expenditure","/ɪkˈspɛn.dɪ.tʃər/","noun","支出；花费","amount of money used during a certain time"
"2510","joy","/dʒɔɪ/","noun","快乐；喜悦","feeling of great happiness and pleasure"
"2511","pregnant","/ˈprɛg.nənt/","adj","怀孕的","when a female carries a baby inside her that is not yet born"
"2512","reliable","/rɪˈlaɪ.ə.bəl/","adj","可信赖的；可靠的","deserving of your trust, dependable"
"2513","gear","/gɪər/","noun","工具；衣着；齿轮","special supplies, tools, or clothes needed for a particular activity; machinery that turns power into forward or backward movement"
"2514","click","/klɪk/","noun","点击","to press a button"
"2515","poet","/ˈpoʊ.ɪt/","noun","诗人","person who writes poems"
"2516","fortune","/ˈfɔr.tʃən/","noun","运气","chance or luck, particularly good luck"
"2517","ceremony","/ˈsɛr.əˌmoʊ.ni/","noun","典礼；仪式","special social or religious event"
"2518","pile","/paɪl/","noun","摞；堆","group of things one on top of another"
"2519","pig","/ˈpɪɡ/","noun","猪","farm animal that gives bacon and ham"
"2520","mixture","/ˈmɪks.tʃər/","noun","混合物","something made by combining two or more things"
"2521","automatically","/ˌɔ.təˈmæt.ɪk.li/","adv","自动地","in a way not requiring control by a person"
"2522","scholar","/ˈskɑl.ər/","noun","学者","a person who studies and knows a lot about a particular subject"
"2523","psychological","/ˌsaɪ.kəˈlɑdʒ.ɪ.kəl/","adj","心理的","having to do with the mind"
"2524","dramatically","/drəˈmæt.ɪk.li/","adv","显著地；剧烈地","in a sudden or extreme manner"
"2525","stake","/steɪk/","verb","桩","a strong stick with a pointed end that you push into the ground"
"2526","creature","/ˈkri.tʃər/","noun","生物","animal of any type"
"2527","partnership","/ˈpɑrt.nərˌʃɪp/","noun","合作","working with others for some purpose"
"2528","participation","/pɑrˌtɪs.əˈpeɪ.ʃən/","noun","参与","act of being involved in something"
"2529","clause","/klɔz/","noun","条款","a separate part of a contract, a will, or another legal document"
"2530","penalty","/ˈpɛn.l.ti/","noun","处罚","punishment for committing a crime or offense"
"2531","chamber","/ˈtʃeɪm.bər/","noun","室","a room or space inside something used for a special purpose"
"2532","fancy","/ˈfæn.si/","adj","复杂的；昂贵的","not plain or ordinary, expensive"
"2533","poetry","/ˈpoʊ.ɪ.tri/","noun","诗","poetic writing; imaginative verses"
"2534","chat","/tʃæt/","verb","聊天","to talk in a friendly and relaxed manner"
"2535","clothing","/ˈkloʊ.ðɪŋ/","noun","衣服","things you wear on your body"
"2536","evolve","/ɪˈvɑlv/","verb","逐渐演变；进化","to slowly change or develop into something better"
"2537","sake","/seɪk/","noun","目的；利益","interest or benefit of someone or something"
"2538","shelf","/ʃɛlf/","noun","架子；搁板","flat board attached to a wall on which to store things"
"2539","boost","/bust/","verb","促进","to help increasing progress or growth"
"2540","tail","/teɪl/","noun","尾巴","back end of an animal's body that sticks out"
"2541","possession","/pəˈzɛʃ.ən/","noun","拥有","having or owning something"
"2542","abortion","/əˈbɔr.ʃən/","noun","流产","a medical operation to end the time when a female is going to have a baby"
"2543","curious","/ˈkjʊər.i.əs/","adj","好奇的","wanting to know more about something"
"2544","wooden","/ˈwʊd.ən/","adj","木制的","made of wood"
"2545","boom","/bum/","verb","隆隆作响","to make a deep hollow resonant sound"
"2546","tale","/teɪl/","noun","故事；传说","story about colorful and imaginary events"
"2547","democratic","/ˌdɛm.əˈkræt.ɪk/","adj","民主的","of democracy; entitling the people to power"
"2548","maintenance","/ˈmeɪn.tə.nəns/","noun","维护","keeping (a machine) working by checking and fixing it"
"2549","consequently","/ˈkɑn.sɪˌkwɛnt.li/","adv","因此；结果","therefore; as a result of something"
"2550","pot","/pɑt/","noun","锅","deep, round container that is used for cooking"
"2551","cow","/kaʊ/","noun","奶牛","large farm animal from which we get milk and beef"
"2552","strengthen","/ˈstrɛŋ.θən/","verb","加强","to make something stronger"
"2553","whilst","/waɪlst/","conj","当...的时候；同时","during the time that; at the same time"
"2554","constraint","/kənˈstreɪnt/","noun","限制；约束","something that limits or prevents someone or something from moving"
"2555","fold","/ˈfəʊld/","verb","折叠","to move one part of something so that it lies on top of another part"
"2556","bin","/bɪn/","noun","容器","a container for storing things"
"2557","undergo","/ˌʌn.dərˈgoʊ/","verb","经历（不快的事情）","to experience something, often bad"
"2558","potentially","/pəˈtɛn.ʃə.li/","adv","潜在地","that could happen or become reality"
"2559","scope","/ˈskəʊp/","noun","范围","range of things that something includes"
"2560","pretend","/prɪˈtɛnd/","verb","佯装","to act as if something is true when it is not"
"2561","diversity","/daɪˈvɜr.sɪ.ti/","noun","差异；多样性","state or quality of having a range of different things"
"2562","allege","/əˈlɛdʒ/","verb","声称","to state without proof"
"2563","pride","/praɪd/","noun","自尊心","when you respect yourself"
"2564","intense","/ɪnˈtɛns/","adj","强烈的；非常的","very strong, great, or extreme in degree"
"2565","inquiry","/ˈɪn.kwə.ri/","noun","质询","request for information"
"2566","resign","/rɪˈzaɪn/","verb","辞职","to leave a job because you want to"
"2567","craft","/kræft/","verb","（用手工）精心制作","to make by hand and with much skill"
"2568","strict","/strɪkt/","adj","严格的","must be obeyed"
"2569","concrete","/ˈkɑn.krit/","noun","混凝土","hard substance used in building made by mixing cement, sand, small stones, and water"
"2570","shell","/ʃɛl/","noun","壳","hard outer covering that protects"
"2571","damn","/dæm/","verb","谴责","to say someone should be punished for their bad behavior"
"2572","distinct","/dɪˈstɪŋkt/","adj","有区别的","clearly different in nature from something else"
"2573","humor","/ˈhju.mər/","noun","幽默","quality of being funny"
"2574","limitation","/ˌlɪm.ɪˈteɪ.ʃən/","noun","限制；限度","act of controlling or reducing the size of something"
"2575","indication","/ˌɪn.dɪˈkeɪ.ʃən/","noun","迹象","something that signals that something else exists or will happen"
"2576","stability","/stəˈbɪl.ɪ.ti/","noun","稳定性","quality of not being easily moved or changed"
"2577","wise","/waɪz/","adj","博学的；高明的","knowledgeable about life; having good judgment"
"2578","neglect","/nɪˈglɛkt/","verb","疏于照顾","to fail to take care of something"
"2579","compose","/kəmˈpoʊz/","verb","构成；组成","to come together to form or make something"
"2580","jail","/dʒeɪl/","noun","监狱","place to hold criminals being punished for a crime"
"2581","shelter","/ˈʃɛl.tər/","noun","避难所","a place to live or stay that protects someone from weather"
"2582","mere","/mɪər/","adj","仅仅的","small and unimportant"
"2583","carbon","/ˈkɑr.bən/","noun","碳（C）","a chemical element (C) found in all living things"
"2584","regulate","/ˈrɛg.jəˌleɪt/","verb","规定;控制","to make rules or laws to control something or someone"
"2585","cheese","/tʃiz/","noun","奶酪","a yellow or white food made from milk"
"2586","trigger","/ˈtrɪg.ər/","verb","触发","to make something start happening"
"2587","pipe","/paɪp/","noun","管道","tube a round, hollow piece of metal, plastic, or wood"
"2588","destruction","/dɪˈstrʌk.ʃən/","noun","摧毁","damaging something so badly that it no longer exists"
"2589","guitar","/gɪˈtɑr/","noun","吉他","stringed musical instrument played with the fingers"
"2590","flag","/flæɡ/","noun","旗帜","piece of cloth, frequently marked with a colorful symbol or sign"
"2591","piano","/piˈæn.oʊ/","noun","钢琴","keyboard instrument used for playing music"
"2592","magic","/ˈmædʒ.ɪk/","noun","魔法","a special power that allows impossible things to happen"
"2593","mystery","/ˈmɪs.tə.ri/","noun","神秘","book, play, or film that deals with a solution of a strange crime"
"2594","ski","/ski/","noun","滑雪橇","one of a pair of long flat boards attached to boots for moving smoothly over snow"
"2595","whisper","/ˈwɪs.pər/","verb","耳语","to talk with breath but no voice"
"2596","rear","/rɪər/","adj","后方的","towards the back part of something"
"2597","menu","/ˈmɛn.ju/","noun","菜单","list of dishes available at a restaurant"
"2598","species","/ˈspi.siz/","noun","物种","a group of related animals or plant"
"2599","moon","/mun/","noun","月亮","round object circling the earth at night"
"2600","presumably","/prɪˈzu.mə.bli/","adv","大概；想必","concerning a true or likely nature"
"2601","bless","/blɛs/","verb","祝福","to ask the gods to protect someone or something"
"2602","airline","/ˈɛərˌlaɪn/","noun","航空公司","company that flies passengers in its planes"
"2603","amendment","/əˈmɛnd.mənt/","noun","改良；修正；改善","a change, addition, or improvement to something"
"2604","grandmother","/ˈgrændˌmʌð.ər/","noun","祖母；外祖母","mother of your mother or father"
"2605","jury","/ˈdʒʊər.i/","noun","陪审团","group of people who listen to information about something and make a decision"
"2606","cooperation","/koʊˌɑp.əˈreɪ.ʃən/","noun","合作","a situation where everyone works together to get something done"
"2607","civilian","/sɪˈvɪl.jən/","noun","平民；百姓","ordinary person who is not in the army"
"2608","composition","/ˌkɑm.pəˈzɪʃ.ən/","noun","创作","something that is created from different parts to make something new"
"2609","coin","/kɔɪn/","noun","硬币","a small, flat piece of metal used as money"
"2610","regardless","/rɪˈgɑrd.lɪs/","adj","不管的；不顾的","without being affected or concerned by something difficult or troubling"
"2611","scan","/skæn/","verb","扫描","to look within something for a particular person or thing"
"2612","bunch","/bʌntʃ/","noun","串；群","group of things of the same kind"
"2613","racial","/ˈreɪ.ʃəl/","adj","种族的","relating to a person's group based on inherited physical appearance"
"2614","greet","/grit/","verb","打招呼；迎接","to meet someone with friendly words and actions; to welcome"
"2615","hopefully","/ˈhoʊp.fə.li/","adv","有希望地","in a manner wishing something to happen"
"2616","sanction","/ˈsæŋk.ʃən/","noun","制裁","action taken to force a country to obey laws"
"2617","trick","/trɪk/","verb","欺骗","to make someone believe something that is not true"
"2618","paragraph","/ˈpɛr.əˌɡræf/","noun","段落","section of writing that usually deals with one subject"
"2619","maker","/ˈmeɪ.kər/","noun","生产者；制造商","person, company, or object that creates things"
"2620","chocolate","/ˈtʃɔ.kə.lɪt/","noun","巧克力","a sweet brown food made from cocoa beans"
"2621","stimulate","/ˈstɪm.jəˌleɪt/","verb","刺激","excite to action"
"2622","belt","/bɛlt/","noun","腰带","band of material worn around a person's waist"
"2623","potato","/pəˈteɪ.toʊ/","noun","土豆；马铃薯","edible vegetable"
"2624","narrative","/ˈnær.ə.tɪv/","noun","叙事","the telling of a story"
"2625","tissue","/ˈtɪʃ.u/","noun","纸巾","piece of thin, soft paper"
"2626","barely","/ˈbɛər.li/","adv","几乎不","almost not possible or does not happen"
"2627","invent","/ɪnˈvɛnt/","verb","发明","to create something useful for the first time"
"2628","tourism","/ˈtʊər.ɪz.əm/","noun","旅游","traveling to new places (e.g., abroad, for vacations)"
"2629","pro","/prəʊ/","noun","职业运动员","someone who earns money doing something they are particularly good at"
"2630","stair","/stɛər/","noun","楼梯","steps that go from one level to another"
"2631","hesitate","/ˈhɛz.ɪˌteɪt/","verb","犹豫","to stop before doing something because you are unsure what to do"
"2632","shine","/ʃaɪn/","verb","动机；诱因","to make bright light"
"2633","motivation","/ˌmoʊ.təˈveɪ.ʃən/","noun","动机；诱因","feeling in a person that makes him or her want to do something"
"2634","romantic","/roʊˈmæn.tɪk/","adj","浪漫的","related to strong feelings of love between two people"
"2635","firmly","/ˈfɜrm.li/","adv","坚决地；坚固地","in a hard, steady, unchanging way"
"2636","interior","/ɪnˈtɪ.ri.ər/","adj","内部的","inside part of something"
"2637","stomach","/ˈstʌm.ək/","noun","胃","place in the body where food is broken down so your body can use it"
"2638","nowhere","/ˈnoʊˌwɛər/","adv","无处；任何地方","not in or at any place; no place"
"2639","pray","/preɪ/","verb","祈祷","to wish or hope for something to happen or be true"
"2640","championship","/ˈtʃæm.pi.ənˌʃɪp/","noun","锦标赛","sports competition to find the best player or team"
"2641","servant","/ˈsɜr.vənt/","noun","仆人；佣人","a person who works in another person's house and takes care of them"
"2642","immigrant","/ˈɪm.ɪ.grənt/","noun","移民","person moving to another country to live there"
"2643","excess","/ˈɛk.sɛs/","noun","超额","amount that is more than necessary"
"2644","complexity","/kəmˈplɛk.sɪ.ti/","noun","复杂性","state of having many parts and not being simple"
"2645","liability","/ˌlaɪ.əˈbɪl.ɪ.ti/","noun","责任；债务","something that is owed to someone else (e.g., a debt)"
"2646","surprisingly","/sərˈpraɪ.zɪŋ.li/","adv","出其不意地","in an unexpected way"
"2647","extract","/ˈɛk.strækt/","verb","提取","to take something out of something else"
"2648","implementation","/ˌɪm.plə.mənˈteɪ.ʃən/","noun","实施；履行","making a law, system, or plan start to happen or be used"
"2649","bias","/ˈbaɪ.əs/","noun","偏见","a strong feeling not based on facts to believe one thing over another"
"2650","differently","/ˈdɪf.ər.ənt.li/","adv","不同地","in a way that is not the same"
"2651","catalog","/ˈkæt.lˌɔg/","noun","目录","list of items that are available for purchase"
"2652","continuous","/kənˈtɪn.ju.əs/","adj","连续的","happening without stops"
"2653","golden","/ˈgoʊl.dən/","adj","金制的","made of valuable, heavy, yellow metal"
"2654","stamp","/stæmp/","noun","邮票","small piece of paper you buy to put on a letter that you mail"
"2655","guideline","/ˈgaɪdˌlaɪn/","noun","指导方针；指导原则","rule, instruction, or principle"
"2656","envelope","/ˈɛn.vəˌloʊp/","noun","信封","cover for a letter or card"
"2657","knife","/naɪf/","noun","刀；匕首","long piece of metal you use for cutting things"
"2658","biological","/ˌbaɪ.əˈlɑdʒ.ɪ.kəl/","adj","生物学的","something related to life and living things"
"2659","consume","/kənˈsum/","verb","消费","to eat, drink, buy or use up something"
"2660","luxury","/ˈlʌk.ʃə.ri/","noun","奢华","something expensive or costly that is not needed which is bought for pleasure"
"2661","weekly","/ˈwik.li/","adv","每周的","happening once a week"
"2662","wherever","/wɛərˈɛv.ər/","adv","无论何处","in any situation or at any time that"
